Time__CET_CEST_,Day_ahead_Total_Load_Forecast__MW____BZN_NL,Actual_Total_Load__MW____BZN_NL
04.01.2024 08:45 - 04.01.2024 09:00,13595.0,15997.0
04.01.2024 09:00 - 04.01.2024 09:15,13709.0,16142.0
04.01.2024 09:15 - 04.01.2024 09:30,13804.0,16256.0
04.01.2024 09:30 - 04.01.2024 09:45,13774.0,16303.0
04.01.2024 09:45 - 04.01.2024 10:00,13701.0,16298.0
04.01.2024 10:00 - 04.01.2024 10:15,13609.0,16258.0
04.01.2024 10:15 - 04.01.2024 10:30,13481.0,16189.0
04.01.2024 10:30 - 04.01.2024 10:45,13382.0,16138.0
04.01.2024 10:45 - 04.01.2024 11:00,13320.0,16075.0
04.01.2024 11:00 - 04.01.2024 11:15,13180.0,15983.0
04.01.2024 11:15 - 04.01.2024 11:30,12958.0,15944.0
04.01.2024 11:30 - 04.01.2024 11:45,12977.0,15879.0
04.01.2024 11:45 - 04.01.2024 12:00,12878.0,15845.0
04.01.2024 12:00 - 04.01.2024 12:15,12888.0,15824.0
04.01.2024 12:15 - 04.01.2024 12:30,12810.0,15773.0
04.01.2024 12:30 - 04.01.2024 12:45,12737.0,15683.0
04.01.2024 12:45 - 04.01.2024 13:00,12701.0,15699.0
04.01.2024 13:00 - 04.01.2024 13:15,12745.0,15706.0
04.01.2024 13:15 - 04.01.2024 13:30,12791.0,15763.0
04.01.2024 13:30 - 04.01.2024 13:45,12827.0,15723.0
04.01.2024 13:45 - 04.01.2024 14:00,12861.0,15661.0
04.01.2024 14:00 - 04.01.2024 14:15,12879.0,15621.0
04.01.2024 14:15 - 04.01.2024 14:30,12855.0,15635.0
04.01.2024 14:30 - 04.01.2024 14:45,12905.0,15639.0
04.01.2024 14:45 - 04.01.2024 15:00,12950.0,15730.0
04.01.2024 15:00 - 04.01.2024 15:15,13039.0,15766.0
04.01.2024 15:15 - 04.01.2024 15:30,13205.0,15792.0
04.01.2024 15:30 - 04.01.2024 15:45,13420.0,15861.0
04.01.2024 15:45 - 04.01.2024 16:00,13543.0,15968.0
04.01.2024 16:00 - 04.01.2024 16:15,13709.0,16039.0
04.01.2024 16:15 - 04.01.2024 16:30,13807.0,16209.0
04.01.2024 16:30 - 04.01.2024 16:45,13810.0,16456.0
04.01.2024 16:45 - 04.01.2024 17:00,13900.0,16772.0
04.01.2024 17:00 - 04.01.2024 17:15,13966.0,16903.0
04.01.2024 17:15 - 04.01.2024 17:30,13961.0,17181.0
04.01.2024 17:30 - 04.01.2024 17:45,14024.0,17286.0
04.01.2024 17:45 - 04.01.2024 18:00,13998.0,17228.0
04.01.2024 18:00 - 04.01.2024 18:15,13855.0,16876.0
04.01.2024 18:15 - 04.01.2024 18:30,13581.0,16614.0
04.01.2024 18:30 - 04.01.2024 18:45,13397.0,16470.0
04.01.2024 18:45 - 04.01.2024 19:00,13267.0,16337.0
04.01.2024 19:00 - 04.01.2024 19:15,13115.0,16150.0
04.01.2024 19:15 - 04.01.2024 19:30,12875.0,15991.0
04.01.2024 19:30 - 04.01.2024 19:45,12741.0,15847.0
04.01.2024 19:45 - 04.01.2024 20:00,12703.0,15791.0
04.01.2024 20:00 - 04.01.2024 20:15,12624.0,15623.0
04.01.2024 20:15 - 04.01.2024 20:30,12545.0,15382.0
04.01.2024 20:30 - 04.01.2024 20:45,12471.0,15201.0
04.01.2024 20:45 - 04.01.2024 21:00,12358.0,15063.0
